,been,were,click,know,course,room,hand,head,electronics,videos,band,kit,amazon,input,resolution,proposed,device,parent,guy,leather,interests,solid,cvs,brother,anonymous,injury,row,philosophy,provision,prescription,institution,weblog,fm,bound,alumni,satisfaction,indexed,committees,antique,blank,angle,underground,lbs,coupons,senator,purchases,jokes,stability,stewart,decrease,ns,automated,encouraged,illness,firewall,flickr,rr,protective,indicator,flows,inclusion,elegant,collaborative,mandatory,pumps,intensity,governmental,pond,organ,nail,knee,mistakes,horn,semiconductor,abs,completing,succeed,exhibitions,zoning,preventing,subdivision,surround,indexes,tackle,excuse,uh,occurring,angola,dispatch,herb,deviation,lid,ladder,confidentiality,treasures,creations,acquisitions,hardwood,indices,bother
been,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.941128671169281,1.0,0.9687702655792236,1.0,0.9737399220466614,1.0,1.0,0.9601316452026367,1.0,1.0,1.0,1.0,1.0,0.9563307166099548,1.0,1.0,1.0,1.0,0.9717456698417664,0.9767765998840332,0.9752628207206726,1.0,1.0,0.9462893605232239,1.0,0.9771912693977356,1.0,0.9578194618225098,1.0,0.9520665407180786,1.0,1.0,1.0,1.0,0.9617371559143066,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9697785377502441,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9728441834449768,1.0,1.0,1.0,1.0,0.9660292863845825,0.9732286334037781,1.0,0.9660590887069702,1.0,0.9351097941398621,1.0,0.9624014496803284,1.0,1.0,1.0,0.950111448764801,1.0,1.0,0.9675372838973999,0.9758943915367126,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9715441465377808,1.0,1.0,0.9745734930038452,1.0,1.0,1.0,1.0,1.0,0.952094316482544
were,1.0,0.0,1.0,1.0,0.9644982814788818,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9701387286186218,1.0,0.9652870297431946,0.9638946652412415,1.0,0.9634130001068115,0.8767646551132202,1.0,1.0,0.9636211395263672,1.0,1.0,1.0,1.0,1.0,0.9735918641090393,1.0,0.8010984659194946,1.0,1.0,1.0,1.0,1.0,1.0,0.9686111211776733,1.0,0.9617523550987244,0.9730985760688782,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9381046295166016,1.0,1.0,1.0,1.0,0.9704084396362305,1.0,1.0,0.9729424715042114,1.0,1.0,1.0,1.0,0.9769300818443298,1.0,1.0,1.0,0.9742977619171143,1.0,1.0,1.0,0.9594984650611877,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9706013202667236,1.0,1.0,1.0,0.9672319889068604,0.9667694568634033,1.0,1.0,1.0,1.0,0.9542720317840576,1.0,1.0,0.9623955488204956,1.0,0.9413807392120361,0.9668983817100525,1.0,1.0,1.0,0.9600920081138611
click,1.0,1.0,0.0,1.0,0.9650245904922485,1.0,1.0,1.0,0.9722375869750977,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9610390663146973,1.0,1.0,1.0,1.0,0.9541399478912354,0.9538021683692932,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9740631580352783,1.0,0.9346964955329895,1.0,1.0,1.0,0.9670486450195312,1.0,1.0,1.0,0.9663260579109192,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.684420108795166,1.0,1.0,0.9665243029594421,1.0,0.9464625716209412,1.0,0.977272093296051,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9742169976234436,1.0,0.9736908674240112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9473884105682373,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9393891096115112,1.0,0.9521770477294922,1.0,0.9691292643547058,1.0,1.0,0.9612129330635071,1.0
know,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9192700982093811,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9464952945709229,1.0,0.7272378206253052,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375551342964172,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7694705128669739,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
course,1.0,0.9644982814788818,0.9650245904922485,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9676626324653625,0.9705880880355835,1.0,1.0,1.0,1.0,1.0,0.955504834651947,1.0,0.97076815366745,0.9635390043258667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9568093419075012,1.0,1.0,1.0,0.9177734851837158,0.9734045267105103,1.0,0.9675931930541992,0.9740324020385742,1.0,0.7486565113067627,0.9645403623580933,0.9404982924461365,1.0,1.0,1.0,0.8954135775566101,1.0,1.0,0.7863443493843079,1.0,1.0,1.0,1.0,0.9770744442939758,1.0,1.0,1.0,1.0,0.9083999395370483,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9656834602355957,1.0,1.0,0.9519613981246948,1.0,0.9165932536125183,1.0,1.0,1.0,1.0,1.0,0.9325445294380188,1.0,0.9722360372543335,0.8845337629318237,1.0,0.9706307053565979,1.0,1.0,1.0,1.0,1.0,1.0,0.9319196939468384,0.9700066447257996,0.9702669978141785,1.0,1.0,1.0,1.0
room,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9731884598731995,1.0,1.0,1.0,1.0,1.0,0.955194890499115,0.967575192451477,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9647889733314514,1.0,1.0,0.7755360007286072,1.0,0.9670326113700867,1.0,1.0,1.0,0.8881908655166626,1.0,1.0,1.0,1.0,0.9582709074020386,1.0,1.0,1.0,0.973962128162384,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9566373825073242,1.0,1.0,1.0,1.0,0.9063403010368347,0.9706714153289795,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9576719403266907,1.0,1.0,1.0,1.0,1.0,0.9661810398101807,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9441965818405151,1.0,1.0
hand,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8972730040550232,1.0,1.0,0.6206530332565308,1.0,1.0,1.0,1.0,0.973656952381134,1.0,1.0,1.0,1.0,1.0,0.966589093208313,1.0,1.0,0.9694950580596924,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8656775951385498,1.0,1.0,0.9348581433296204,1.0,0.9645905494689941,0.9597762823104858,0.9568532705307007,0.8948835730552673,1.0,1.0,1.0,0.9463598132133484,1.0,1.0,1.0,1.0,1.0,0.9759080410003662,0.9771842956542969,1.0,1.0,1.0,1.0,1.0,0.9697573184967041,1.0,1.0,0.9648026823997498,1.0,0.8864927291870117,1.0,1.0,1.0,0.8490486145019531,0.9587842226028442,1.0,1.0,1.0,0.9355179071426392,0.9767070412635803,1.0,1.0,0.9725789427757263,1.0,1.0,1.0,1.0,0.895107090473175,0.9646826982498169,1.0,1.0,1.0,1.0,0.9620177149772644,1.0,0.9349451065063477,1.0,0.9558424949645996,1.0,1.0,1.0,1.0,1.0,0.815947949886322,0.9649588465690613,1.0
head,1.0,1.0,1.0,1.0,1.0,1.0,0.8972730040550232,0.0,1.0,1.0,0.9642098546028137,1.0,1.0,1.0,1.0,0.9755524396896362,1.0,1.0,1.0,0.9033896327018738,1.0,0.9689931869506836,1.0,0.9519696235656738,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9673472046852112,1.0,1.0,0.9719002842903137,1.0,1.0,1.0,1.0,0.9803680777549744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9554961323738098,1.0,0.9776415824890137,0.9788259863853455,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9633048176765442,1.0,1.0,1.0,1.0,0.9401577115058899,1.0,1.0,1.0,0.9745520353317261,1.0,1.0,1.0,1.0,0.9745013117790222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7950035333633423,1.0,0.9590198397636414,0.9307178854942322,1.0,0.9589762687683105,0.9536687135696411,1.0,0.936421275138855,1.0,0.9473101496696472
electronics,1.0,1.0,0.9722375869750977,1.0,1.0,0.9731884598731995,1.0,1.0,0.0,0.9877716898918152,1.0,1.0,0.9861030578613281,1.0,0.9883145093917847,0.9802234768867493,0.9738548398017883,1.0,1.0,0.973499596118927,0.9892788529396057,1.0,0.9826286435127258,0.9785241484642029,0.9788042306900024,1.0,0.9683186411857605,1.0,0.967319667339325,0.9896658062934875,0.9889922142028809,1.0,1.0,1.0,0.9654005169868469,0.9661144614219666,1.0,0.9902471899986267,1.0,1.0,0.9689756035804749,0.9841189980506897,0.9825072884559631,0.9737830758094788,1.0,0.9898048043251038,0.9864680171012878,1.0,1.0,0.9675697088241577,0.9765113592147827,1.0,0.9771814942359924,0.9887285232543945,1.0,0.9747973084449768,1.0,0.8935473561286926,0.9775357842445374,0.9866640567779541,0.9879159331321716,0.7938262224197388,1.0,1.0,0.9865966439247131,1.0,1.0,0.9814389944076538,1.0,1.0,1.0,0.989201545715332,1.0,0.9509942531585693,0.9819384217262268,0.9783383011817932,1.0,0.956486701965332,0.9055142998695374,1.0,0.9892732501029968,0.9793731570243835,0.9870972037315369,0.9734203815460205,0.9707328081130981,1.0,1.0,1.0,1.0,1.0,0.9873374700546265,1.0,1.0,0.990989089012146,0.9556216597557068,0.9754384160041809,0.980282187461853,1.0,0.9611696004867554,1.0
videos,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9877716898918152,0.0,1.0,1.0,1.0,1.0,1.0,0.9569879770278931,0.9285744428634644,1.0,1.0,1.0,0.9856925010681152,0.9510530829429626,0.9768177270889282,1.0,0.9866317510604858,1.0,1.0,0.9655399322509766,0.9642522931098938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9696654677391052,0.9869847893714905,1.0,1.0,1.0,0.9788066744804382,0.9766557812690735,0.9834648966789246,1.0,0.9863944053649902,0.9819414615631104,1.0,1.0,0.9734445214271545,0.968654215335846,1.0,1.0,0.9849580526351929,1.0,1.0,1.0,1.0,1.0,0.9822030663490295,1.0,1.0,1.0,1.0,0.9821131229400635,1.0,1.0,1.0,1.0,1.0,1.0,0.985589325428009,1.0,1.0,0.9758966565132141,1.0,1.0,0.9870768189430237,1.0,1.0,0.9695013165473938,1.0,0.9520516395568848,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9369724988937378,0.9353093504905701,0.9703747630119324,0.91689532995224,0.986283540725708,0.9845089316368103,0.9875639081001282,1.0,0.9829156994819641,1.0
